idStock,idTienda,codigo,stock
156,2,1,0
157,2,2,0
158,2,3,0
159,2,4,0
160,2,5,0
161,2,6,0
162,2,7,0
163,2,8,0
164,2,9,0
165,2,10,0
166,2,11,0
167,2,12,0
168,2,13,0
169,2,14,0
170,2,15,0
171,2,16,0
172,2,17,0
173,2,18,0
174,2,19,0
175,2,20,0
176,2,21,0
177,2,22,0
178,2,23,0
179,2,24,0
180,2,25,0
181,2,26,0
182,2,27,0
183,2,28,0
184,2,29,0
185,2,30,0
186,2,31,0
187,2,32,0
188,2,33,0
189,2,34,0
190,2,35,0
191,2,36,0
192,2,37,0
193,2,38,0
194,2,39,0
195,2,40,0
196,2,41,0
197,2,42,0
198,2,43,0
199,2,44,0
200,2,45,0
201,2,46,0
202,2,47,0
203,2,48,0
204,2,49,0
205,2,50,0
206,2,51,0
207,2,52,0
208,2,53,0
209,2,54,0
210,2,55,0
211,2,56,0
212,2,57,0
213,2,58,0
214,2,59,0
215,2,60,0
216,2,61,0
217,2,62,0
218,2,63,0
219,2,64,0
220,2,65,0
221,2,66,0
222,2,67,0
223,2,68,0
224,2,69,0
225,2,70,0
226,2,71,0
227,2,72,0
228,2,73,0
229,2,74,0
230,2,75,0
231,2,76,0
232,2,77,0
233,2,78,0
234,2,79,0
235,2,80,0
236,2,81,0
237,2,82,0
238,2,83,0
239,2,84,0
240,2,85,0
241,2,86,0
242,2,87,0
243,2,88,0
244,2,89,0
245,2,90,0
246,2,91,0
247,2,92,0
248,2,93,0
249,2,94,0
250,2,95,0
251,2,96,0
252,2,97,0
253,2,98,0
254,2,99,0
255,2,100,0
256,2,101,0
257,2,102,0
258,2,103,0
259,2,104,0
260,2,105,0
261,2,106,0
262,2,107,0
263,2,108,0
264,2,109,0
265,2,110,0
266,2,111,0
267,2,112,0
268,2,113,0
269,2,114,0
270,2,115,0
271,2,116,0
272,2,117,0
273,2,118,0
274,2,119,0
275,2,120,0
276,2,121,0
277,2,122,0
278,2,123,0
279,2,124,0
280,2,125,0
281,2,126,0
282,2,127,0
283,2,128,0
284,2,129,0
285,2,130,0
286,2,131,0
287,2,132,0
288,2,133,0
289,2,134,0
290,2,135,0
291,2,136,0
292,2,137,0
293,2,138,0
294,2,139,0
295,2,140,0
296,2,141,0
297,2,142,0
298,2,143,0
299,2,144,0
300,2,145,0
301,2,146,0
302,2,147,0
303,2,148,0
304,2,149,0
305,2,150,0
306,2,151,0
307,2,152,0
308,2,153,0
309,2,154,0
310,2,155,0
